id,name,online_order,book_table,rating,votes,location,rest_type,dish_liked,cuisines,approx_cost,type
20692,Village - The Soul of India,No,Yes,4.1,2461,JP Nagar,Casual Dining,"Chaat, Pav Bhaji, Pakoda, Phirni, Veg Buffet, Jalebi, Gulab Jamun","Rajasthani, Gujarati, North Indian, South Indian",1000.00,Buffet
20693,24th Main,No,Yes,4.1,1239,JP Nagar,Casual Dining,"Carrot Halwa, Paneer Satay, Manchow Soup, Gajar Ka Halwa, Butter Naan, Mocktails, Tandoori Mushrooms","North Indian, South Indian, Chinese",800.00,Buffet
20700,Nouvelle Garden,No,No,3.7,203,JP Nagar,Casual Dining,"Tiramisu, Pasta, Salads, Gulab Jamun, Butter Naan, Biryani, Chicken Soup","North Indian, Continental, Italian",900.00,NA
20706,The Maori - Aurick Boutique Hotel,No,No,3.5,44,JP Nagar,Casual Dining,NA,"Chinese, North Indian",1000.00,Buffet
20717,Fabcafe,No,Yes,3.5,11,Jayanagar,Cafe,NA,"Cafe, Healthy Food",800.00,Cafes
20730,36th Cross Coffee Mane,No,No,3.6,19,Jayanagar,Quick Bites,NA,"South Indian, Chinese, Beverages, Cafe, Coffee, Fast Food, Momos, North Indian",200.00,Cafes
20741,Cafe Coffee Day,Yes,No,2.9,33,Jayanagar,Cafe,NA,Cafe,650.00,Cafes
20742,Chaai Resto,Yes,No,0,0,Jayanagar,"Beverage Shop, Quick Bites",NA,"Tea, Beverages, Fast Food",250.00,Cafes
20779,"Malnad Blossom, Coffee & Cream",No,No,3.8,33,JP Nagar,Cafe,NA,Cafe,300.00,Cafes
20783,Shivaay's Cafe,No,No,0,0,Wilson Garden,"Cafe, Dessert Parlor",NA,"Cafe, Desserts, Fast Food",400.00,Cafes
20786,PHEW (Play Hard Eat Wild),Yes,Yes,3.9,488,BTM,Cafe,"Noodles, Shawarma, Brownie, Chicken Nachos, Veg Platter, Manchurian, Onion Rings","Continental, Lebanese, Middle Eastern, North Indian, Chinese, BBQ, Cafe",700.00,Cafes
